"";"player_id";"fantasy_pts";"year";"sleeper_id"
"610";"41897";"72.7";"2019";"5845"
"611";"41401";"202.7";"2019";"6011"
"612";"39517";"55";"2019";"5854"
"613";"39395";"201";"2019";"5870"
"614";"38334";"262.9";"2019";"5849"
"615";"38265";"4.7";"2019";"5903"
"616";"35460";"17";"2019";"4863"
"617";"29838";"44.6";"2019";"6595"
"618";"29048";"168.4";"2019";"4943"
"619";"26152";"168.2";"2019";"5127"
"620";"21956";"-0.1";"2019";"5257"
"621";"13725";"-1.6";"2019";"6136"
"622";"12324";"0";"2019";"4574"
"623";"12282";"-0.3";"2019";"4464"
"624";"12112";"23.4";"2019";"4381"
"625";"11767";"306.4";"2019";"4017"
"626";"11765";"274";"2019";"4046"
"627";"11757";"194";"2019";"3976"
"628";"10841";"55.5";"2019";"3362"
"629";"10835";"32.5";"2019";"3357"
"630";"10769";"303.1";"2019";"3294"
"631";"10725";"211.3";"2019";"3257"
"632";"10636";"253.8";"2019";"3161"
"633";"10635";"222.4";"2019";"3163"
"634";"9683";"0.1";"2019";"2549"
"635";"9580";"5.5";"2019";"2450"
"636";"9522";"-0.5";"2019";"2394"
"637";"9435";"81.1";"2019";"2307"
"638";"9434";"283.8";"2019";"2306"
"639";"8848";"-0.3";"2019";"2229"
"640";"8818";"0";"2019";"2106"
"641";"8799";"0";"2019";"1895"
"642";"8697";"231.5";"2019";"1837"
"643";"8671";"224.8";"2019";"2028"
"644";"8667";"89.2";"2019";"2152"
"645";"8638";"-0.8";"2019";"1979"
"646";"7983";"0.6";"2019";"1550"
"647";"7880";"2.1";"2019";"1338"
"648";"7854";"3.2";"2019";"1559"
"649";"7610";"0";"2019";"1262"
"650";"7323";"93.2";"2019";"1737"
"651";"7102";"238.5";"2019";"1166"
"652";"7089";"37.7";"2019";"1029"
"653";"7077";"303.4";"2019";"1234"
"654";"7014";"204.3";"2019";"1049"
"655";"7008";"9.2";"2019";"1169"
"656";"6332";"5.8";"2019";"827"
"657";"6187";"183.3";"2019";"829"
"658";"6153";"18.1";"2019";"954"
"659";"5609";"2.2";"2019";"533"
"660";"5277";"21.1";"2019";"345"
"661";"5214";"26";"2019";"490"
"662";"4924";"167.6";"2019";"421"
"663";"4332";"80.9";"2019";"19"
"664";"4317";"250.8";"2019";"24"
"665";"4018";"40.3";"2019";"233"
"666";"2467";"206.2";"2019";"333"
"667";"2241";"257.1";"2019";"96"
"668";"1811";"31.9";"2019";"178"
"669";"1732";"11.7";"2019";"138"
"670";"1725";"215.8";"2019";"331"
"671";"1722";"52.4";"2019";"188"
"672";"1085";"0.8";"2019";"208"
"673";"802";"202.7";"2019";"289"
"674";"698";"244.8";"2019";"167"
"675";"91479";"2.7";"2019";"6427"
